video_id,fetch_date,rank_today,view_count,like_count,comment_count
BHpzaWKUsvM,2025-09-21,194,26548,308,36
JPD5xe53Lng,2025-09-21,195,203261,14688,1467
gSRkr-EoDE0,2025-09-21,196,69566,600,23
eVbyCpe55Ok,2025-09-21,197,182794,8251,9
brhVIMs_G4s,2025-09-21,198,192035,1090,5
XBtFQFYsReU,2025-09-21,199,282861,3902,33
ljuA1pSFwg0,2025-09-21,200,19022,164,21
I-JMdev__Qc,2025-09-22,1,1734085,12206,698
_8J8LwoVH_0,2025-09-22,2,5889455,590600,22965
7w5yqPGz5S8,2025-09-22,3,9948790,1051632,345303
nz2SeP58Dc0,2025-09-22,4,704017,6716,591
axBF-4nNZ3s,2025-09-22,5,3528051,191382,3371
ERiRWRQQydg,2025-09-22,6,1867703,14466,10
9YrkXkdtHts,2025-09-22,7,565128,3805,199
QNYWpTmVj6w,2025-09-22,8,927946,15577,368
2bIT7WFdm-Q,2025-09-22,9,1148434,12962,5
ZWgkkzQv9Os,2025-09-22,10,829842,17173,1260
zdu0YzzJ10o,2025-09-22,11,13615503,229219,4599
C8AY--Qq5VA,2025-09-22,12,1168271,7050,4
0MfMztBIeKY,2025-09-22,13,3738910,276839,7379
uSXJIbT2Up0,2025-09-22,14,1083477,19258,194
Wiu9d6Vujv8,2025-09-22,15,1225969,37595,7526
Cn-oMqMhoVE,2025-09-22,16,829573,15019,2654
fdDrV7wM500,2025-09-22,17,343036,7833,208
f84cLYwSDV8,2025-09-22,18,878021,9257,7
981v5vd0Mik,2025-09-22,19,265861,2302,76
rvno67oeAW8,2025-09-22,20,138261,9612,412
kanwMIteR4M,2025-09-22,21,1408738,32864,79
PITfVREIkGw,2025-09-22,22,632730,6404,704
KpKQl0oKxes,2025-09-22,23,266795,9748,158
EGh0vkzP_tA,2025-09-22,24,659166,11566,1818
6Kb0m27nceM,2025-09-22,25,1067548,6211,170
GI_xkcZjvJ0,2025-09-22,26,75946,6956,193
kuATwygfkGE,2025-09-22,27,597918,5486,3
d9vNrZTFg3k,2025-09-22,28,103002,481,15
MbG8C_Xcv0o,2025-09-22,29,109632,7394,303
KTpW9czkBhk,2025-09-22,30,261735,14767,1384
WsllF4THOYk,2025-09-22,31,14198489,359003,18338
Dq_Sc85-oyY,2025-09-22,32,1079904,6804,144
NPo3hQHZKIM,2025-09-22,33,1758838,18413,246
cux9HnQjcUE,2025-09-22,34,162093,1637,129
vx-G2Tjocf4,2025-09-22,35,2702893,21382,1187
SYAwNR5NQV0,2025-09-22,36,700997,7677,783
aiS1hLCTWc4,2025-09-22,37,120976,1438,21
BSsT6CzQpk8,2025-09-22,38,425231,3840,38
SzqrQmF5a8U,2025-09-22,39,476127,0,6
Kfjwtz1RaY0,2025-09-22,40,1079492,13534,1217
ODnOijz8Sx8,2025-09-22,41,789956,14306,1
3Lf9K9CKiXE,2025-09-22,42,3092135,120092,2318
CS1wZYE9dH0,2025-09-22,43,269814,1297,16
5xJ60zvH0TU,2025-09-22,44,114509,8777,593
npNmyb-qqGw,2025-09-22,45,16839096,538689,15723
TLhvJsvzln0,2025-09-22,46,213018,12383,2245
cKkxGdZ_lcg,2025-09-22,47,147770,12668,675
0NZ8st3t5pk,2025-09-22,48,347040,1760,0
_oMG6ZLQOlA,2025-09-22,49,100288,849,44
6GUABg18iHA,2025-09-22,50,94657,8437,467
r4LgfmVZ1cY,2025-09-22,51,511541,5214,2
D8_utRiAenw,2025-09-22,52,87470,645,13
NRo0Arvy8z4,2025-09-22,53,176013,13088,586
ARvhnjlCPTw,2025-09-22,54,2101503,173406,1470
DxTUtCrwlPI,2025-09-22,55,242544,1602,133
nkrKSCUEGQk,2025-09-22,56,52923,6594,120
LT18AAVjFj4,2025-09-22,57,351486,20497,2004
T_fS3SADkuM,2025-09-22,58,222479,1369,59
zHVtd-g0dPg,2025-09-22,59,3402764,75560,1965
ZcYaeFaqpoY,2025-09-22,60,1337556,73723,946
A90YXoW0Uck,2025-09-22,61,65672,634,57
Lc-Y8Hx9quo,2025-09-22,62,218822,16908,876
xKuucszzKb8,2025-09-22,63,66677,438,9
eqzjTeIl228,2025-09-22,64,228193,3187,181
PHtA_VLIqYQ,2025-09-22,65,65726,9344,291
eG4e-25RdcI,2025-09-22,66,163606,974,6
MRYhfZK2l08,2025-09-22,67,362369,1873,31
SzG_H0JbsrA,2025-09-22,68,44364,3329,109
JntKOmbMI08,2025-09-22,69,5385627,120299,4645
CsPSlYQ1D0c,2025-09-22,70,246401,1501,29
hI6zdcc5LVg,2025-09-22,71,100208,9384,384
wSca7At3Wxw,2025-09-22,72,219164,2743,46
HL2vy2XLu60,2025-09-22,73,126882,587,29
8YhRkrEF9X8,2025-09-22,74,158974,13750,538
NIy4i22dX7Q,2025-09-22,75,435854,6026,0
CRaxp-bXxYI,2025-09-22,76,89053,694,48
VO67skGnU14,2025-09-22,77,33838,4510,156
ixQGUWlxNkc,2025-09-22,78,421640,24709,72
MuGWOtFKTLw,2025-09-22,79,302671,1517,33
ibzsyJ691is,2025-09-22,80,95534,4493,189
3s1gy2vpOBs,2025-09-22,81,486880,28081,29
VMudpklXvsg,2025-09-22,82,81782,7596,544
k18AR2aQjS8,2025-09-22,83,452527,10774,0
Wkr93whusCg,2025-09-22,84,407851,24391,2965
zO69l39VRe0,2025-09-22,85,54904,486,7
Zo82Mz6S6h4,2025-09-22,86,89424,2620,33
WWn5q3b2bLc,2025-09-22,87,806839,61834,597
34hBq7E2SlQ,2025-09-22,88,100535,1769,67
jYf0T503fTY,2025-09-22,89,31615,2354,97
_EnPIotPuiI,2025-09-22,90,372979,5686,1464
aoHEKJDsbN8,2025-09-22,91,65630,551,13
_8k8b6EDq6I,2025-09-22,92,320449,18887,2062
-BKUiCSGGq4,2025-09-22,93,629270,36564,4535
Lpds2E73oyE,2025-09-22,94,263662,1669,28
QkCQ5JfbJWw,2025-09-22,95,44327,581,16
pRSGlyGfrOE,2025-09-22,96,572190,56472,1369
rmcbOAJCvzc,2025-09-22,97,126384,3246,138
PuPT6ehcuR0,2025-09-22,98,46377,3825,310
fUs9sJL-0Ck,2025-09-22,99,392732,6393,270
u9zIcKbtedQ,2025-09-22,100,148070,2328,99
SLf7tv6WbPE,2025-09-22,101,33941,2291,211
UMTlrCaAkfo,2025-09-22,102,244031,2346,537
8DXkCd6WKVY,2025-09-22,103,114117,907,42
lHq0-Qt-RL4,2025-09-22,104,150375,5358,114
ki17bHkfdYo,2025-09-22,105,391799,9219,991
nJ2Aq3rS65s,2025-09-22,106,130792,1327,99
1NC4d_eAHto,2025-09-22,107,271448,12582,752
ksszy114t7w,2025-09-22,108,461829,30837,7468
yG1ngGJAREY,2025-09-22,109,399879,12869,722
0-cVgh5602I,2025-09-22,110,92946,8752,745
oSonDxVirxo,2025-09-22,111,40372,451,7
gI8NWRCVLyE,2025-09-22,112,498420,20465,728
_WFapr58ChY,2025-09-22,113,53536,2552,146
3kwBEQftQak,2025-09-22,114,323827,8145,2548
W1AaUZJK0_U,2025-09-22,115,153336,1694,119
CN39jrBFaPM,2025-09-22,116,35127,1064,48
9aLJJpVzGQ8,2025-09-22,117,161121,2986,12
mzf-J-49pzk,2025-09-22,118,184117,1366,33
CUbbM-Od5F4,2025-09-22,119,22644,2240,199
FC0s6_Cud-Y,2025-09-22,120,596246,7938,0
SeVtBtnSsBY,2025-09-22,121,44232,684,20
yFgiGL5s2f4,2025-09-22,122,29918,2258,96
RQh5kwhbij8,2025-09-22,123,346914,10803,8
PpmbHWboYKE,2025-09-22,124,37762,169,5
VmNIhlOL63k,2025-09-22,125,394723,13343,558
mUUVBCsS8ZY,2025-09-22,126,202500,878,42
Rz4cr4juhxg,2025-09-22,127,149982,1079,48
Svl5wDgzvc8,2025-09-22,128,24136,1299,121
O8Xi8mdici8,2025-09-22,129,89781,1528,201
0b_vOSzqNw0,2025-09-22,130,73804,453,26
SxZrCoW0KXI,2025-09-22,131,41923,1788,131
ePHnjkaMykY,2025-09-22,132,248273,3581,232
H_dINTlM0z8,2025-09-22,133,82624,788,41
-HXPo63114o,2025-09-22,134,299152,4985,33
o_immGSV2Og,2025-09-22,135,464038,29249,5204
iso8VE9si8I,2025-09-22,136,42483,397,13
L1DS8BOcl5o,2025-09-22,137,91988,8058,348
smXhYTTmbK8,2025-09-22,138,153347,4063,1073
8fBTZ9Vl91U,2025-09-22,139,111618,21220,1410
a6vx1RjZpTo,2025-09-22,140,25371,1751,66
LVzWdTIh_PY,2025-09-22,141,171658,5439,146
bTIcLi2rBRI,2025-09-22,142,84864,1511,128
UGQby4k-RcM,2025-09-22,143,35908,2497,107
TC6jNx67mck,2025-09-22,144,79509,8369,1627
TbTDCRTcfEM,2025-09-22,145,91774,446,5
uozAkLLdLL8,2025-09-22,146,20415,2307,93
VslLcyRgnyg,2025-09-22,147,241072,2243,0
moGdbG5PgkE,2025-09-22,148,62101,480,10
Zrqqh3aRDAw,2025-09-22,149,40354,2418,262
hdLBCIZd_u4,2025-09-22,150,469372,3547,0
gf5d7LVDIro,2025-09-22,151,36651,297,32
Yi0lUQtC-Rc,2025-09-22,152,24049,1296,35
RUd6ElRaOv0,2025-09-22,153,278294,723,20
elAj2Ndy9TU,2025-09-22,154,71406,259,11
OlftxAfh04I,2025-09-22,155,95131,1545,33
Id7JlGFxZ1s,2025-09-22,156,599041,57040,1199
NkBkrVPJQ1M,2025-09-22,157,63256,357,12
6zDccQes4nk,2025-09-22,158,15142,2100,65
o4f_UrSrMZo,2025-09-22,159,46315,1002,127
XWAsv7FLREQ,2025-09-22,160,176241,1441,45
b_Zc3vLTC2E,2025-09-22,161,22812,1041,198
02RiTP46Om8,2025-09-22,162,135017,578,9
l5hGFqook-Y,2025-09-22,163,15719,164,5
DSOnt-DTEss,2025-09-22,164,11444,1383,36
ss8a-RSu_5E,2025-09-22,165,199980,4018,407
8YqJdpX6hig,2025-09-22,166,90188,1608,142
VAsbhUMXL8o,2025-09-22,167,65335,543,21
9YB6MUQh2Jc,2025-09-22,168,1704091,72489,8981
Zp7NzGsgD3s,2025-09-22,169,520458,7987,339
mk3mdx5d-kw,2025-09-22,170,19933,1115,23
ThwZepAWZ4Q,2025-09-22,171,332376,790,34
0R_XImgLu_Q,2025-09-22,172,87008,845,48
kM_9-pYY5MA,2025-09-22,173,18623,2044,107
-w0zAiY72nQ,2025-09-22,174,151957,1643,16
r91V_RJIzNM,2025-09-22,175,122681,4373,189
HXPs6Oq7fYo,2025-09-22,176,106524,7430,600
iOVbzSpiemo,2025-09-22,177,63504,367,37
XMivyWoPzRY,2025-09-22,178,152533,3823,21
Q8nPWsfOEog,2025-09-22,179,903812,3403,52
bUd6raeDhwc,2025-09-22,180,116762,1082,3
e37E_55_6Pc,2025-09-22,181,172845,855,40
GHjWbA3C1gs,2025-09-22,182,86892,4709,247
LQUZk8tZNdg,2025-09-22,183,37390,247,21
hSSZyrnwlis,2025-09-22,184,218721,3222,196
8mIvwOLbe6I,2025-09-22,185,375244,19055,2617
vpwv4k9yzXc,2025-09-22,186,69974,707,66
mSRgCIXc3Bs,2025-09-22,187,35376,177,2
ofKBvGIVqDI,2025-09-22,188,100656,4850,449
DI3gOn-FVqU,2025-09-22,189,186252,3034,368
lNW5fyYhwC0,2025-09-22,190,105175,11469,1177
twVpWwyGcx0,2025-09-22,191,198428,1109,18
2MaqPqAbbiA,2025-09-22,192,423210,4645,182
kEj8hN-O_Fc,2025-09-22,193,123194,5692,441
nGIxJBCbrbI,2025-09-22,194,313927,5144,2
kqoRoohPl8k,2025-09-22,195,47306,436,49
77HrnQ4fbXs,2025-09-22,196,97593,4683,1257
ppaqUfDL3OE,2025-09-22,197,43061,462,43
wVcRyZsldS0,2025-09-22,198,74005,2981,694
rwug_jExVYo,2025-09-22,199,68682,236,12
bLIebvFrizE,2025-09-22,200,371083,6818,8
I-JMdev__Qc,2025-09-23,1,2863817,18285,1050
_8J8LwoVH_0,2025-09-23,2,9885430,678277,26733
U-8Apmkhbi0,2025-09-23,3,2629314,82648,228
nz2SeP58Dc0,2025-09-23,4,827586,6903,625
axBF-4nNZ3s,2025-09-23,5,14186782,298724,4128
7w5yqPGz5S8,2025-09-23,6,10781131,1092216,401964
9YrkXkdtHts,2025-09-23,7,967788,5316,310
zdu0YzzJ10o,2025-09-23,8,14116164,238092,4785
EGh0vkzP_tA,2025-09-23,9,1126651,15443,2425
f8YiG2WOzlc,2025-09-23,10,140984,1030,40
uSXJIbT2Up0,2025-09-23,11,1091299,19281,194
dXIp5fSCgNI,2025-09-23,12,619563,8673,162
x5yGFJ9-g4U,2025-09-23,13,192727,2063,65
Lc-Y8Hx9quo,2025-09-23,14,583376,27753,1328
aetcj8HwnsA,2025-09-23,15,504716,32203,109
Cn-oMqMhoVE,2025-09-23,16,1285023,20020,3010
A4hVbK5RdGo,2025-09-23,17,540193,15292,88
iychOoy8yEg,2025-09-23,18,655760,48176,919
aiS1hLCTWc4,2025-09-23,19,404149,3243,41
NLenJthrWNM,2025-09-23,20,249815,5561,205
Wiu9d6Vujv8,2025-09-23,21,1649873,44214,10284
ZWgkkzQv9Os,2025-09-23,22,1297448,24141,1604
fdDrV7wM500,2025-09-23,23,348885,7851,211
LdGnwfWlr5c,2025-09-23,24,1346575,12500,3
W-yuziiiXrE,2025-09-23,25,365394,2161,110
5xJ60zvH0TU,2025-09-23,26,334193,13256,928
h2bLqY_oLhY,2025-09-23,27,208492,2602,261
yi6VKWzEQWE,2025-09-23,28,99654,3395,113
8YhRkrEF9X8,2025-09-23,29,422257,21431,781
ERiRWRQQydg,2025-09-23,30,1869642,14464,10
d9vNrZTFg3k,2025-09-23,31,210421,865,30
rvno67oeAW8,2025-09-23,32,232225,11919,501
LT18AAVjFj4,2025-09-23,33,743605,31629,3034
sdUNhcUsEJg,2025-09-23,34,178971,6247,736
GI_xkcZjvJ0,2025-09-23,35,156191,9641,265
viP9FcCr-tI,2025-09-23,36,479952,9298,2824
Km9uI34R6dE,2025-09-23,37,401465,4559,390
8S8b7xjS49o,2025-09-23,38,1948404,18004,693
pGmUycag3Kc,2025-09-23,39,575390,15917,8152
5ZSdTULYZNM,2025-09-23,40,125543,1101,23
OGj-W7rf5As,2025-09-23,41,3308061,17610,1065
2bIT7WFdm-Q,2025-09-23,42,1149702,12957,5
VMudpklXvsg,2025-09-23,43,234957,12988,768
nkrKSCUEGQk,2025-09-23,44,230898,11008,211
C8AY--Qq5VA,2025-09-23,45,1171194,7053,4
0MfMztBIeKY,2025-09-23,46,3930458,278688,7422
PHtA_VLIqYQ,2025-09-23,47,269798,16006,451
NT1DKopqcBo,2025-09-23,48,566944,27424,324
PDSHVXacPU4,2025-09-23,49,163452,8705,359
nGcGhP-PeVc,2025-09-23,50,165009,10219,956
m-oLUX91ee4,2025-09-23,51,484707,28748,87
UShmrzRIHF0,2025-09-23,52,116566,531,19
NRo0Arvy8z4,2025-09-23,53,300487,16924,735
5sWDrzNZEHY,2025-09-23,54,647203,68748,1291
CRaxp-bXxYI,2025-09-23,55,283339,1706,110
vx-G2Tjocf4,2025-09-23,56,3506946,24494,1300
f84cLYwSDV8,2025-09-23,57,879379,9226,15
6Kb0m27nceM,2025-09-23,58,1160887,6690,177
MbG8C_Xcv0o,2025-09-23,59,144763,8255,333
xKuucszzKb8,2025-09-23,60,208174,1027,15
PITfVREIkGw,2025-09-23,61,733873,6656,732
IFDIOblwb5k,2025-09-23,62,218367,12483,927
Wkr93whusCg,2025-09-23,63,630907,29702,3392
_-YvLrTzfG4,2025-09-23,64,66440,470,7
KpKQl0oKxes,2025-09-23,65,272852,9863,160
qYQa6UIFOZs,2025-09-23,66,72117,407,22
SeVtBtnSsBY,2025-09-23,67,161648,1546,45
6GUABg18iHA,2025-09-23,68,135199,9846,560
rFjrszn7p94,2025-09-23,69,186915,3986,765
NfShpB_9u4s,2025-09-23,70,197640,30578,2828
Dq_Sc85-oyY,2025-09-23,71,1275053,7461,148
HEqFzzvCBNM,2025-09-23,72,220740,16784,699
WsllF4THOYk,2025-09-23,73,16590719,373151,18741
VO67skGnU14,2025-09-23,74,103692,6657,220
oSonDxVirxo,2025-09-23,75,142979,961,20
