video_id,video_published_at,title,tags,channel_id,channel_title,subscriber_count,category_id,category_name,duration_seconds
tBqQTj6vVz0,2025-10-07T00:15:02Z,"DEEWANIYAT | Harshvardhan Rane, Sonam Bajwa | Vishal Mishra | Romantic Song 2025",Deewaniyat song|Ek Deewane Ki Deewaniyat songs|Deewaniyat title track|Vishal Mishra songs|Sonam Bajwa new song|Harshvardhan Rane new song,UC2qNgJaPfsFiZYeRyEn3Prw,77 Media Entertainment,7480,10,Music,821.0
tnqgMJ5bIlE,2025-10-06T13:14:24Z,Can we Survive Car Crash in Roblox..,carry depie|karry mini,UC9fpAQPR4sWOlCtARTETadQ,Karry Mini,325000,20,Gaming,965.0
hRNAVOzOukU,2025-10-03T23:30:09Z,புரட்டாசி சனிக்கிழமை பெருமாள் பாடல் ஒலிக்கும் இடத்தில் செல்வங்கள் நிலைத்து இருக்கும் | Apoorva Video,Tamil Songs|Tamil Devotional|Devotional Songs|Apoorva Audio|apoorva|perumal|varaha|mantra|vishnu|hinduism|lord vishnu|divine|lord varaha|varaha lakshmi|varaha mantra|laxmi varaha swami|india|Lord Balaji|Lord Perumal|Perumal SOngs|Thirupathi|Thirumalai Thirupathi|Puratasi|Puratasi Sani kilamai|Balaji|Balaji SOngs|Perumal Tamil Songs|Tirumala Brahmotsavam|tirupati brahmotsavam|brahmotsavam|om namo venkatesa|puratasi|puratasi month,UCIXUddWWVlp7evIeFCMsBZQ,Apoorva Videos,356000,10,Music,1111.0
NqdPc_QDinc,2025-10-06T11:52:28Z,India Woman vs South Africa Woman World Cup 2025 | IND vs SA Scores & Commentary |Cricket Highlights,,UCwRaBklrAqEr8g76gVeTdtw,BHARAT CRICKET 24@,6360,17,Sports,855.0
7HZxinyAvrw,2025-10-04T11:31:28Z,One In A Million : Jordan Sandhu (Official Video) | Latest Punjabi Song 2025,punjabi song|speed records|new punjabi song|new punjabi song 2025|latest punjabi songs|latest punjabi songs 2025|new punjabi songs|punjabi new song|punjabi new song 2025|new punjabi songs 2025|punjabi song 2025|punjabi song new 2025|punjabi gana|new punjabi song 2025 latest|new song 2025|latest songs 2025|one in a million|one in a million song|one in a million jordan sandhu|jordan sandhu new song|jordan sandhu latest song|jordan sandhu one in a million,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,47800000,10,Music,163.0
AQDbcNhDlvQ,2025-10-06T17:41:38Z,"Big Decision SHOCKED All 😱 DISBAND Live🚨 S8UL Goldy, Godlike Jonathan,Sheek Gaming,Scoutop,BGMI OMG!",S8ul Disband Lineup|S8ul Disband Team|8Bit Goldy reply Godlike|8Bit Goldy and Godlike reply|Jonathan Gaming|Godlike Jonathan|Jonathan Bgmi|Scoutop|Scout gaming|Scout reply|RNT Txspark new Lineup|RNT Txspark New Team|Sheek Gaming|Sheek Gaming reply|Wizzgod bgmi|Orangutan Wizgod reply|BGMI Teams|BGMI Player reply|BGMI Shocking news|BGMI Team Disband|Godlike player reply|S8ul Goldy|GoldyDa|Shocking news|Disband|Full Story,UCfI55Gu6Kj7Q6KplG50N0Rw,GamingNews15K,139000,22,People & Blogs,743.0
4TJOiXqiHAY,2025-10-02T12:59:30Z,Karva Chauth Pe Upasi | Official Video | Farmani Naaz | Anil Rawat | Nili Pili Chudi  | Naaz Music,Karva Chauth Pe Upasi|Karva Chauth Pe Upasi Official Video|Karva Chauth Pe Upasi new sond|new song Karva Chauth Pe Upasi|Karva Chauth Pe Upasi hindi song|Karva Chauth Pe Upasi farmani naaz|Karva Chauth Pe Upasi anil rawat|nili pili chudi song|new song nili pili chudi|farmani naaz|anil rawat|anil rawat song|hindi song Karva Chauth Pe Upasi|farmani|farmani naaz new song|hindi hit song|farmani naaz anil rawat somg|payal ki khanak song|payal ki khanak anil rawat,UCtp6V-43hLxyTMGHwWwZuFA,Naaz Music,2440000,10,Music,203.0
U8tQzLcG-hs,2025-10-06T04:30:21Z,Franklin House Enter Inside Giant Franklin Mouth in Indian Bike Driving 3D,indian bike driving 3d franklin mouth|indian bike driving 3d giant franklin|indian bike driving 3d franklin enter|indian bike driving 3d|indian bikes driving 3d|indian bike game|indian bike driving 3d new update|indian bike driving 3d cheat codes|indian bike driving 3d house|indian bike driving 3d franklin house|franklin house|indian bike driving 3d gameplay|indian bike driving 3d gta 5|indian bike driving 3d tongue,UCQ6mb97-kuBBp4ko6v4yKEw,HarshTatsuya,2670000,20,Gaming,1132.0
jT9JKmrYwAg,2025-10-05T10:37:52Z,#Video | स्पेशल छठ पूजा गीत 2025 - कातिक छठ पारम्परिक गीत | New Chhath Puja Song 2025 | #Chhath Geet,chhath puja song 2025|chhaiti chhath puja song 2025|chhath puja dj song 2025|chhath puja song dj 2025|chhath puja song|chhath puja song dj|chhath puja 2025|new chhath puja song|pawan singh chhath puja song|chhath puja songs|chhath puja song pawan singh|live chhath puja song|chhath puja dj song|chhath puja dj 2025|new chhath song 2025|pawan singh new chhath puja song|chaiti chhath puja song|chhath puja song status|chhath puja geet 2025|chhath parv 2025 song,UC9m7OvlzsNiUmle6FfOV32A,Hold Music Bhajan,2520,22,People & Blogs,1719.0
whkz79s00NM,2025-10-06T08:01:08Z,QUALIFIED FOR THE GLOBAL TOURNAMENT! TEAM INDIA🇮🇳,pahadigamer|freefire,UC27cAjoHJBraU2uOd8e5SOA,Pahadi Gamer,1610000,20,Gaming,1777.0
